amfi_code,scheme_name,alpha,beta
148567,Mirae Asset Large Cap Fund - Regular - Growth,26.98375144191807,0.0236835580758486
120505,ICICI Pru Midcap Fund - Regular - Growth,29.26358334175106,0.0005490042506317
120843,Kotak Flexicap Fund - Regular - Growth,27.330465038306052,-0.0228295697924265
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,27.19535450128533,0.0051035258305283
120504,ICICI Pru Bluechip Fund - Direct - Growth,21.19482701352573,0.0162321697614169
119094,Axis Midcap Fund - Regular - Growth,26.07666908004223,-0.0662654286280376
119551,SBI Bluechip Fund - Regular Plan - Growth,23.201007160635083,-0.0317514411389097
148569,Mirae Asset Tax Saver Fund - Regular - Growth,28.27036785246582,0.0181338840838592
101206,ABSL Frontline Equity Fund - Regular - Growth,21.399784776051213,0.021086316250128
119598,SBI Small Cap Fund - Regular Plan - Growth,30.336965386983323,-0.0231960620440597
149323,DSP Midcap Fund - Regular - Growth,26.59857754204305,-0.0025230046646992
149324,DSP Small Cap Fund - Regular - Growth,30.05787817097677,0.0114551599605207
118632,Nippon India Large Cap Fund - Regular - Growth,21.829397904608644,-0.0083538321269619
119552,SBI Bluechip Fund - Direct Plan - Growth,19.86859936686296,-0.0261593075135134
125497,HDFC Top 100 Fund - Direct Plan - Growth,17.729754927531765,0.0488204042595774
118635,Nippon India ETF Nifty 50 BeES,15.13635464823924,-0.0014335213897801
118633,Nippon India Large Cap Fund - Direct - Growth,15.643835948169668,-0.0366390067186093
102885,UTI Nifty 50 Index Fund - Regular - Growth,17.048756803412697,-0.0194867856894745
120503,ICICI Pru Bluechip Fund - Regular - Growth,17.703302365844074,-0.0402689523698205
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,20.873010086942337,-0.026387719943843
120506,ICICI Pru Value Discovery Fund - Regular - Growth,16.25385327998104,0.0418964627281197
120507,ICICI Pru Liquid Fund - Regular - Growth,6.746210411099539,-0.0004440926329707
119093,Axis Bluechip Fund - Direct - Growth,8.232801295222094,0.0258832124400931
102887,UTI Flexi Cap Fund - Regular - Growth,16.211256794033254,0.0166826894377708
149322,DSP Top 100 Equity Fund - Regular - Growth,13.173190226099432,-0.0040502711300065
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.98910097121797,0.0090544126217391
120844,Kotak Liquid Fund - Regular - Growth,6.455677495375999,-0.0004007442394784
120841,Kotak Bluechip Fund - Regular - Growth,13.042924450705446,0.0363563990221998
118634,Nippon India Small Cap Fund - Regular - Growth,17.50072167561127,0.1034966369133758
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.074772999976104,0.0012566742731558
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.620895216638369,-0.0064138507282764
101208,ABSL Liquid Fund - Regular - Growth,6.086145795787115,0.0002667096833823
100025,HDFC Short Term Debt Fund - Regular - Growth,4.281792031506088,0.0011582183155281
120842,Kotak Emerging Equity Fund - Regular - Growth,7.80443887615508,0.0180568742081181
119599,SBI Small Cap Fund - Direct Plan - Growth,4.882421594553985,0.0620018043826716
119092,Axis Bluechip Fund - Regular - Growth,6.899529821677549,0.0097307450011536
101207,ABSL Small Cap Fund - Regular - Growth,10.897091901704538,-0.0652892478835152
119095,Axis Small Cap Fund - Regular - Growth,4.801595363775955,-0.066951174639292
100016,HDFC Top 100 Fund - Regular Plan - Growth,3.747580763443282,-0.0582684314388089
102886,UTI Mid Cap Fund - Regular - Growth,2.8969397866379443,-0.0421250290218943
